stim_category,item1,item2,avg_dist
stims_boa,sup6,sup8,0.5124128541711399
stims_boa,sup7,sup8,0.46860203804797607
stims_fru,bas1,bas2,0.3515763089379942
stims_fru,bas1,bas3,0.19492159075458415
stims_fru,bas1,bas4,0.3684707370668298
stims_fru,bas1,sub1,0.4013360836769159
stims_fru,bas1,sub2,0.40640665374069757
stims_fru,bas1,sub3,0.39751342388644195
stims_fru,bas1,sub4,0.414133985703211
stims_fru,bas1,sub5,0.3979612616508072
stims_fru,bas1,sup1,0.6197603892889764
stims_fru,bas1,sup2,0.6454311917828195
stims_fru,bas1,sup3,0.601981718676168
stims_fru,bas1,sup4,0.6579208187505476
stims_fru,bas1,sup5,0.679588910239292
stims_fru,bas1,sup6,0.6348689957454425
stims_fru,bas2,bas3,0.3342646450219939
stims_fru,bas2,bas4,0.1910687746474534
stims_fru,bas2,sub1,0.4161766354599816
stims_fru,bas2,sub2,0.4421885255407893
stims_fru,bas2,sub3,0.4400488509516619
stims_fru,bas2,sub4,0.4318052206593294
stims_fru,bas2,sub5,0.4457639997648151
stims_fru,bas2,sup1,0.5961379161873165
stims_fru,bas2,sup2,0.5623085458504061
stims_fru,bas2,sup3,0.5822736128667549
stims_fru,bas2,sup4,0.6396903138853824
stims_fru,bas2,sup5,0.6395179956659608
stims_fru,bas2,sup6,0.6229436383897792
stims_fru,bas3,bas4,0.3684730855137272
stims_fru,bas3,sub1,0.39997523139933683
stims_fru,bas3,sub2,0.4085387863660539
stims_fru,bas3,sub3,0.3934039965671422
stims_fru,bas3,sub4,0.4164775774780296
stims_fru,bas3,sub5,0.41994003415796577
stims_fru,bas3,sup1,0.6269167204406568
stims_fru,bas3,sup2,0.62246364066442
stims_fru,bas3,sup3,0.6044823055717178
stims_fru,bas3,sup4,0.6543615743288609
stims_fru,bas3,sup5,0.6669792796018308
stims_fru,bas3,sup6,0.6320685126073645
stims_fru,bas4,sub1,0.4237339526576608
stims_fru,bas4,sub2,0.4482161149636741
stims_fru,bas4,sub3,0.42841899080815754
stims_fru,bas4,sub4,0.4415711138080569
stims_fru,bas4,sub5,0.4520319205588556
stims_fru,bas4,sup1,0.6022029622914491
stims_fru,bas4,sup2,0.5845996868296656
stims_fru,bas4,sup3,0.5874979581405922
stims_fru,bas4,sup4,0.627270467881407
stims_fru,bas4,sup5,0.6541663409920347
stims_fru,bas4,sup6,0.6080042585534702
stims_fru,sub1,sub2,0.24212875130507816
stims_fru,sub1,sub3,0.1993248309046407
stims_fru,sub1,sub4,0.22041813099947039
stims_fru,sub1,sub5,0.21718095769239848
stims_fru,sub1,sup1,0.6403737885645067
stims_fru,sub1,sup2,0.6882907961695707
stims_fru,sub1,sup3,0.6762239372469846
stims_fru,sub1,sup4,0.5765238880664983
stims_fru,sub1,sup5,0.7014244355507112
stims_fru,sub1,sup6,0.6469413612872625
stims_fru,sub2,sub3,0.2187019618301149
stims_fru,sub2,sub4,0.22098096410812115
stims_fru,sub2,sub5,0.23727723774746537
stims_fru,sub2,sup1,0.6666065499164074
stims_fru,sub2,sup2,0.6703000938186379
stims_fru,sub2,sup3,0.6443690451257748
stims_fru,sub2,sup4,0.5902005356637418
stims_fru,sub2,sup5,0.720845970760503
stims_fru,sub2,sup6,0.6413756623212282
stims_fru,sub3,sub4,0.20688107885891854
stims_fru,sub3,sub5,0.2196958091740105
stims_fru,sub3,sup1,0.648910452337669
stims_fru,sub3,sup2,0.692584800632048
stims_fru,sub3,sup3,0.6719313028439231
stims_fru,sub3,sup4,0.572321046070899
stims_fru,sub3,sup5,0.7071655546974672
stims_fru,sub3,sup6,0.6191838881478937
stims_fru,sub4,sub5,0.23264054254588687
stims_fru,sub4,sup1,0.6767340735749896
stims_fru,sub4,sup2,0.6975293564074357
stims_fru,sub4,sup3,0.697389747902407
stims_fru,sub4,sup4,0.5997484938985242
stims_fru,sub4,sup5,0.7361167289803429
stims_fru,sub4,sup6,0.6394655622081777
stims_fru,sub5,sup1,0.6528093897944607
stims_fru,sub5,sup2,0.6916502749358985
stims_fru,sub5,sup3,0.6852988028683265
stims_fru,sub5,sup4,0.6163181524194111
stims_fru,sub5,sup5,0.7257951171823703
stims_fru,sub5,sup6,0.6524101803982678
stims_fru,sup1,sup2,0.5189905377955083
stims_fru,sup1,sup3,0.5710742923092493
stims_fru,sup1,sup4,0.40361224041010013
stims_fru,sup1,sup5,0.28083416633711183
stims_fru,sup1,sup6,0.40634936962207535
stims_fru,sup2,sup3,0.43766455693376094
stims_fru,sup2,sup4,0.6069274300240954
stims_fru,sup2,sup5,0.5554638076343513
stims_fru,sup2,sup6,0.5619873718288909
stims_fru,sup3,sup4,0.5603099726850477
stims_fru,sup3,sup5,0.5203866358134469
stims_fru,sup3,sup6,0.5454777971664522
stims_fru,sup4,sup5,0.43433181019649497
stims_fru,sup4,sup6,0.4240607747801939
stims_fru,sup5,sup6,0.4494747741306759
stims_mus,bas1,bas2,0.3512286223065216
stims_mus,bas1,bas3,0.2517515670628839
stims_mus,bas1,bas4,0.40098023849859527
stims_mus,bas1,sub1,0.3683561421626075
stims_mus,bas1,sub2,0.36793489959465303
stims_mus,bas1,sub3,0.3723191128619645
stims_mus,bas1,sub4,0.36827245198398495
stims_mus,bas1,sub5,0.39238476271015144
stims_mus,bas1,sup1,0.6523520700591234
stims_mus,bas1,sup2,0.6765456073057354
stims_mus,bas1,sup3,0.690158049605021
stims_mus,bas1,sup4,0.6219786958144097
stims_mus,bas1,sup5,0.64653126150586
stims_mus,bas1,sup6,0.6836672057896491
stims_mus,bas2,bas3,0.3350117231641243
stims_mus,bas2,bas4,0.35302261373079163
stims_mus,bas2,sub1,0.32741195155591374
stims_mus,bas2,sub2,0.333732144242681
stims_mus,bas2,sub3,0.3491540110943045
stims_mus,bas2,sub4,0.339357113077877
stims_mus,bas2,sub5,0.33302158082703115
stims_mus,bas2,sup1,0.6597781830750716
stims_mus,bas2,sup2,0.6675454337272575
stims_mus,bas2,sup3,0.6720536424684882
stims_mus,bas2,sup4,0.6446786166589056
stims_mus,bas2,sup5,0.6616388294242666
stims_mus,bas2,sup6,0.7092481711652978
stims_mus,bas3,bas4,0.3893283620696411
stims_mus,bas3,sub1,0.39828939010010356
stims_mus,bas3,sub2,0.40549028268854553
stims_mus,bas3,sub3,0.39685435745127084
stims_mus,bas3,sub4,0.40074023993460195
stims_mus,bas3,sub5,0.38278452265005075
stims_mus,bas3,sup1,0.6386848635855018
stims_mus,bas3,sup2,0.6394153480582012
stims_mus,bas3,sup3,0.6700365473264691
stims_mus,bas3,sup4,0.6097464387910961
stims_mus,bas3,sup5,0.6404557114261571
stims_mus,bas3,sup6,0.6437548581707242
stims_mus,bas4,sub1,0.41662683285586705
stims_mus,bas4,sub2,0.3929353000082074
stims_mus,bas4,sub3,0.44155655916818637
stims_mus,bas4,sub4,0.4352453656351079
stims_mus,bas4,sub5,0.4091387898364193
stims_mus,bas4,sup1,0.6191398255196349
stims_mus,bas4,sup2,0.6450553697204772
stims_mus,bas4,sup3,0.6448477011923597
stims_mus,bas4,sup4,0.5712125403352374
stims_mus,bas4,sup5,0.5777272825472909
stims_mus,bas4,sup6,0.64458208353211
stims_mus,sub1,sub2,0.2861822716455698
stims_mus,sub1,sub3,0.24963110350143272
stims_mus,sub1,sub4,0.28027305459428203
stims_mus,sub1,sub5,0.2748213090517799
stims_mus,sub1,sup1,0.6854909423629642
stims_mus,sub1,sup2,0.6953509365651156
stims_mus,sub1,sup3,0.6848921884402094
stims_mus,sub1,sup4,0.6693766253060653
stims_mus,sub1,sup5,0.6737550658890383
stims_mus,sub1,sup6,0.7000834890646509
stims_mus,sub2,sub3,0.2957639859856061
stims_mus,sub2,sub4,0.27916115871436725
stims_mus,sub2,sub5,0.2821153565663366
stims_mus,sub2,sup1,0.6543670175399431
stims_mus,sub2,sup2,0.6472378147408231
stims_mus,sub2,sup3,0.6580456813981747
stims_mus,sub2,sup4,0.6376784078390297
stims_mus,sub2,sup5,0.6525162236026961
stims_mus,sub2,sup6,0.6786163004763451
stims_mus,sub3,sub4,0.23185009735794063
stims_mus,sub3,sub5,0.22335922033579758
stims_mus,sub3,sup1,0.694056925522428
stims_mus,sub3,sup2,0.6705836743729764
stims_mus,sub3,sup3,0.6692684603509346
stims_mus,sub3,sup4,0.6582660625676354
stims_mus,sub3,sup5,0.6645032998731212
stims_mus,sub3,sup6,0.6619573929620799
stims_mus,sub4,sub5,0.24085055305651473
stims_mus,sub4,sup1,0.6762277362567923
stims_mus,sub4,sup2,0.702728323670009
stims_mus,sub4,sup3,0.7117693075699789
stims_mus,sub4,sup4,0.6573806345720643
stims_mus,sub4,sup5,0.6707515710230978
stims_mus,sub4,sup6,0.6922846608072388
stims_mus,sub5,sup1,0.6742159879625131
stims_mus,sub5,sup2,0.6905235702331604
stims_mus,sub5,sup3,0.7013232107868325
stims_mus,sub5,sup4,0.630397923419083
stims_mus,sub5,sup5,0.646125253901561
stims_mus,sub5,sup6,0.6783952900662139
stims_mus,sup1,sup2,0.5197979476100151
stims_mus,sup1,sup3,0.5426979551407746
stims_mus,sup1,sup4,0.5277803904711366
stims_mus,sup1,sup5,0.5363893533153549
stims_mus,sup1,sup6,0.39283503571055045
stims_mus,sup2,sup3,0.3136260745728278
stims_mus,sup2,sup4,0.6079753263406009
stims_mus,sup2,sup5,0.602187070420193
stims_mus,sup2,sup6,0.4535445189191313
stims_mus,sup3,sup4,0.5816624620592111
stims_mus,sup3,sup5,0.5965660215533547
stims_mus,sup3,sup6,0.4599162959774964
stims_mus,sup4,sup5,0.20064994652217139
stims_mus,sup4,sup6,0.5337919852481066
stims_mus,sup5,sup6,0.5218795103625647
stims_pla,bas1,bas2,0.4090332275993534
stims_pla,bas1,bas3,0.38086786841038034
stims_pla,bas1,bas4,0.4107256419989338
stims_pla,bas1,sub1,0.48633988472547174
stims_pla,bas1,sub2,0.49204752185763095
stims_pla,bas1,sub3,0.5027524906644373
stims_pla,bas1,sub4,0.5046937426133564
stims_pla,bas1,sub5,0.4526026566198793
stims_pla,bas1,sup1,0.6683434526678337
stims_pla,bas1,sup2,0.4230362649764096
stims_pla,bas1,sup3,0.5824473463086817
stims_pla,bas1,sup4,0.6172230822534289
stims_pla,bas1,sup5,0.5745167282701743
stims_pla,bas1,sup6,0.6167328455109857
stims_pla,bas1,sup7,0.6647709677664316
stims_pla,bas1,sup8,0.5303106310122727
stims_pla,bas2,bas3,0.36822613840868346
stims_pla,bas2,bas4,0.3369863553381985
stims_pla,bas2,sub1,0.5295191700964555
stims_pla,bas2,sub2,0.5097863316921124
stims_pla,bas2,sub3,0.5167505667284287
stims_pla,bas2,sub4,0.5305480113253356
stims_pla,bas2,sub5,0.5007166679576612
stims_pla,bas2,sup1,0.6856353262712394
stims_pla,bas2,sup2,0.4133921974847266
stims_pla,bas2,sup3,0.5968428812215828
stims_pla,bas2,sup4,0.6193023958666215
stims_pla,bas2,sup5,0.6023018163068146
stims_pla,bas2,sup6,0.6321593082271191
stims_pla,bas2,sup7,0.6221597305708328
stims_pla,bas2,sup8,0.5448787543754724
stims_pla,bas3,bas4,0.33051967278889866
stims_pla,bas3,sub1,0.44872685807448504
stims_pla,bas3,sub2,0.4923453484307256
stims_pla,bas3,sub3,0.4612675734472457
stims_pla,bas3,sub4,0.48162239690583625
stims_pla,bas3,sub5,0.4531738580246555
stims_pla,bas3,sup1,0.6309632665657477
